Dist Code,Year,State Code,State Name,Dist Name,ANNUAL_RAINFALL(Millimeters)
44,2014,1,Andhra Pradesh,Srikakulam,803.0
44,2015,1,Andhra Pradesh,Srikakulam,1621.7
44,2016,1,Andhra Pradesh,Srikakulam,934.6
44,2017,1,Andhra Pradesh,Srikakulam,1289.2
44,2018,1,Andhra Pradesh,Srikakulam,1421.9
44,2019,1,Andhra Pradesh,Srikakulam,1274.3
44,2020,1,Andhra Pradesh,Srikakulam,952.4
45,2014,1,Andhra Pradesh,Visakhapatnam,873.0
45,2015,1,Andhra Pradesh,Visakhapatnam,1793.8
45,2016,1,Andhra Pradesh,Visakhapatnam,932.8
45,2017,1,Andhra Pradesh,Visakhapatnam,1217.9
45,2018,1,Andhra Pradesh,Visakhapatnam,1082.5
45,2019,1,Andhra Pradesh,Visakhapatnam,1092.6
45,2020,1,Andhra Pradesh,Visakhapatnam,1210.4
46,2014,1,Andhra Pradesh,East Godavari,719.0
46,2015,1,Andhra Pradesh,East Godavari,1953.6
46,2016,1,Andhra Pradesh,East Godavari,845.0
46,2017,1,Andhra Pradesh,East Godavari,1445.3
46,2018,1,Andhra Pradesh,East Godavari,1120.2
46,2019,1,Andhra Pradesh,East Godavari,635.7
46,2020,1,Andhra Pradesh,East Godavari,1099.1
47,2014,1,Andhra Pradesh,West Godavari,673.0
47,2015,1,Andhra Pradesh,West Godavari,1733.4
47,2016,1,Andhra Pradesh,West Godavari,899.3
47,2017,1,Andhra Pradesh,West Godavari,1611.9
47,2018,1,Andhra Pradesh,West Godavari,1006.1
47,2019,1,Andhra Pradesh,West Godavari,861.1
47,2020,1,Andhra Pradesh,West Godavari,1053.9
48,2014,1,Andhra Pradesh,Krishna,724.0
48,2015,1,Andhra Pradesh,Krishna,1770.8
48,2016,1,Andhra Pradesh,Krishna,876.5
48,2017,1,Andhra Pradesh,Krishna,1509.6
48,2018,1,Andhra Pradesh,Krishna,1317.3
48,2019,1,Andhra Pradesh,Krishna,622.9
48,2020,1,Andhra Pradesh,Krishna,944.8
49,2014,1,Andhra Pradesh,Guntur,576.0
49,2015,1,Andhra Pradesh,Guntur,1460.5
49,2016,1,Andhra Pradesh,Guntur,610.9
49,2017,1,Andhra Pradesh,Guntur,1012.7
49,2018,1,Andhra Pradesh,Guntur,1161.5
49,2019,1,Andhra Pradesh,Guntur,681.4
49,2020,1,Andhra Pradesh,Guntur,713.5
50,2014,1,Andhra Pradesh,S.P.S. Nellore,916.0
50,2015,1,Andhra Pradesh,S.P.S. Nellore,1397.6
50,2016,1,Andhra Pradesh,S.P.S. Nellore,1087.0
50,2017,1,Andhra Pradesh,S.P.S. Nellore,911.0
50,2018,1,Andhra Pradesh,S.P.S. Nellore,871.8
50,2019,1,Andhra Pradesh,S.P.S. Nellore,705.3
50,2020,1,Andhra Pradesh,S.P.S. Nellore,1385.3
51,2014,1,Andhra Pradesh,Kurnool,759.0
51,2015,1,Andhra Pradesh,Kurnool,824.1
51,2016,1,Andhra Pradesh,Kurnool,500.4
51,2017,1,Andhra Pradesh,Kurnool,609.3
51,2018,1,Andhra Pradesh,Kurnool,703.4
51,2019,1,Andhra Pradesh,Kurnool,628.9
51,2020,1,Andhra Pradesh,Kurnool,470.3
52,2014,1,Andhra Pradesh,Ananthapur,575.0
52,2015,1,Andhra Pradesh,Ananthapur,755.9
52,2016,1,Andhra Pradesh,Ananthapur,482.0
52,2017,1,Andhra Pradesh,Ananthapur,536.0
52,2018,1,Andhra Pradesh,Ananthapur,501.7
52,2019,1,Andhra Pradesh,Ananthapur,437.8
52,2020,1,Andhra Pradesh,Ananthapur,708.8
53,2014,1,Andhra Pradesh,Kadapa YSR,607.0
53,2015,1,Andhra Pradesh,Kadapa YSR,907.4
53,2016,1,Andhra Pradesh,Kadapa YSR,658.7
53,2017,1,Andhra Pradesh,Kadapa YSR,558.2
53,2018,1,Andhra Pradesh,Kadapa YSR,689.2
53,2019,1,Andhra Pradesh,Kadapa YSR,432.6
53,2020,1,Andhra Pradesh,Kadapa YSR,1012.5
54,2014,1,Andhra Pradesh,Chittoor,709.0
54,2015,1,Andhra Pradesh,Chittoor,1086.0
54,2016,1,Andhra Pradesh,Chittoor,952.5
54,2017,1,Andhra Pradesh,Chittoor,1002.5
54,2018,1,Andhra Pradesh,Chittoor,856.0
54,2019,1,Andhra Pradesh,Chittoor,600.4
54,2020,1,Andhra Pradesh,Chittoor,1418.9
