Crop,District,Year,Season,Area(Hectare),Production(Tonne),Yield(Tonne/Hectare),Annual_Temp,Fertilizer(KG_per_hectare),ANNUAL_RAINFALL(Millimeters)
maize,kurnool,2019,kharif,30737,167271.0,5.44,28.75,284.85,628.9
rice,kurnool,2019,kharif,82759,329605.0,3.98,28.75,284.85,628.9
turmeric,kurnool,2019,kharif,3234,38808.0,12.0,28.75,284.85,628.9
castor_seed,kurnool,2019,rabi,183,177.0,0.97,28.75,284.85,628.9
gram,kurnool,2019,rabi,155952,198527.0,1.27,28.75,284.85,628.9
moong(green_gram),kurnool,2019,rabi,798,779.0,0.98,28.75,284.85,628.9
safflower,kurnool,2019,rabi,87,43.0,0.49,28.75,284.85,628.9
sunflower,kurnool,2019,rabi,259,272.0,1.05,28.75,284.85,628.9
bajra,prakasam,2019,kharif,7178,16495.0,2.3,27.86,266.6866133333333,929.8805333333333
cotton,prakasam,2019,kharif,45376,22296.0,0.49,27.86,266.6866133333333,929.8805333333333
groundnut,prakasam,2019,kharif,1605,5117.0,3.19,27.86,266.6866133333333,929.8805333333333
maize,prakasam,2019,kharif,1068,7434.0,6.96,27.86,266.6866133333333,929.8805333333333
ragi,prakasam,2019,kharif,33,37.0,1.12,27.86,266.6866133333333,929.8805333333333
rice,prakasam,2019,kharif,29872,111711.0,3.74,27.86,266.6866133333333,929.8805333333333
turmeric,prakasam,2019,kharif,502,6024.0,12.0,27.86,266.6866133333333,929.8805333333333
castor_seed,prakasam,2019,rabi,671,329.0,0.49,27.86,266.6866133333333,929.8805333333333
gram,prakasam,2019,rabi,86177,120734.0,1.4,27.86,266.6866133333333,929.8805333333333
moong(green_gram),prakasam,2019,rabi,922,835.0,0.91,27.86,266.6866133333333,929.8805333333333
safflower,prakasam,2019,rabi,7,3.0,0.43,27.86,266.6866133333333,929.8805333333333
sunflower,prakasam,2019,rabi,382,410.0,1.07,27.86,266.6866133333333,929.8805333333333
bajra,spsr_nellore,2019,kharif,173,472.0,2.73,32.75,315.94,705.3
cotton,spsr_nellore,2019,kharif,1012,435.0,0.43,32.75,315.94,705.3
groundnut,spsr_nellore,2019,kharif,5607,23050.0,4.11,32.75,315.94,705.3
maize,spsr_nellore,2019,kharif,49,183.0,3.73,32.75,315.94,705.3
ragi,spsr_nellore,2019,kharif,22,32.0,1.45,32.75,315.94,705.3
rice,spsr_nellore,2019,kharif,16680,64015.0,3.84,32.75,315.94,705.3
turmeric,spsr_nellore,2019,kharif,182,2184.0,12.0,32.75,315.94,705.3
gram,spsr_nellore,2019,rabi,10655,12562.0,1.18,32.75,315.94,705.3
moong(green_gram),spsr_nellore,2019,rabi,4913,3326.0,0.68,32.75,315.94,705.3
sunflower,spsr_nellore,2019,rabi,33,26.0,0.79,32.75,315.94,705.3
bajra,srikakulam,2019,kharif,83,127.0,1.53,30.86,190.1,1274.3
cotton,srikakulam,2019,kharif,5712,3016.0,0.53,30.86,190.1,1274.3
groundnut,srikakulam,2019,kharif,1097,1497.0,1.36,30.86,190.1,1274.3
maize,srikakulam,2019,kharif,15975,73325.0,4.59,30.86,190.1,1274.3
ragi,srikakulam,2019,kharif,206,270.0,1.31,30.86,190.1,1274.3
rice,srikakulam,2019,kharif,209640,594503.0,2.84,30.86,190.1,1274.3
turmeric,srikakulam,2019,kharif,253,3036.0,12.0,30.86,190.1,1274.3
moong(green_gram),srikakulam,2019,rabi,26653,14099.0,0.53,30.86,190.1,1274.3
sunflower,srikakulam,2019,rabi,304,313.0,1.03,30.86,190.1,1274.3
bajra,visakhapatanam,2019,kharif,1057,1101.0,1.04,28.85,131.28,1092.6
cotton,visakhapatanam,2019,kharif,976,396.0,0.41,28.85,131.28,1092.6
groundnut,visakhapatanam,2019,kharif,1551,2275.0,1.47,28.85,131.28,1092.6
maize,visakhapatanam,2019,kharif,4894,16512.0,3.37,28.85,131.28,1092.6
ragi,visakhapatanam,2019,kharif,17859,19859.0,1.11,28.85,131.28,1092.6
rice,visakhapatanam,2019,kharif,96998,230642.0,2.38,28.85,131.28,1092.6
turmeric,visakhapatanam,2019,kharif,11286,135432.0,12.0,28.85,131.28,1092.6
gram,visakhapatanam,2019,rabi,82,119.0,1.45,28.85,131.28,1092.6
moong(green_gram),visakhapatanam,2019,rabi,2654,998.0,0.38,28.85,131.28,1092.6
sunflower,visakhapatanam,2019,rabi,74,76.0,1.03,28.85,131.28,1092.6
bajra,vizianagaram,2019,kharif,34,41.0,1.21,30.78,266.6866133333333,929.8805333333333
cotton,vizianagaram,2019,kharif,12257,5430.0,0.44,30.78,266.6866133333333,929.8805333333333
groundnut,vizianagaram,2019,kharif,980,1259.0,1.28,30.78,266.6866133333333,929.8805333333333
maize,vizianagaram,2019,kharif,18600,99436.0,5.35,30.78,266.6866133333333,929.8805333333333
ragi,vizianagaram,2019,kharif,998,1258.0,1.26,30.78,266.6866133333333,929.8805333333333
rice,vizianagaram,2019,kharif,119381,384713.0,3.22,30.78,266.6866133333333,929.8805333333333
gram,vizianagaram,2019,rabi,121,176.0,1.45,30.78,266.6866133333333,929.8805333333333
moong(green_gram),vizianagaram,2019,rabi,12470,9041.0,0.73,30.78,266.6866133333333,929.8805333333333
sunflower,vizianagaram,2019,rabi,9,9.0,1.0,30.78,266.6866133333333,929.8805333333333
cotton,west_godavari,2019,kharif,4856,2285.0,0.47,29.56,529.88,861.1
groundnut,west_godavari,2019,kharif,1117,2322.0,2.08,29.56,529.88,861.1
maize,west_godavari,2019,kharif,1922,11497.0,5.98,29.56,529.88,861.1
rice,west_godavari,2019,kharif,224398,850763.0,3.79,29.56,529.88,861.1
turmeric,west_godavari,2019,kharif,180,2160.0,12.0,29.56,529.88,861.1
gram,west_godavari,2019,rabi,4,6.0,1.5,29.56,529.88,861.1
moong(green_gram),west_godavari,2019,rabi,7296,8792.0,1.21,29.56,529.88,861.1
sunflower,west_godavari,2019,rabi,44,37.0,0.84,29.56,529.88,861.1
bajra,anantapur,2020,kharif,2427,3432.0,1.41,33.5,96.3,708.8
cotton,anantapur,2020,kharif,40424,35183.0,0.87,33.5,96.3,708.8
groundnut,anantapur,2020,kharif,481154,227586.0,0.47,33.5,96.3,708.8
maize,anantapur,2020,kharif,17529,67311.0,3.84,33.5,96.3,708.8
ragi,anantapur,2020,kharif,2400,4054.0,1.69,33.5,96.3,708.8
rice,anantapur,2020,kharif,20037,54581.0,2.72,33.5,96.3,708.8
castor_seed,anantapur,2020,rabi,64,25.0,0.39,33.5,96.3,708.8
gram,anantapur,2020,rabi,87490,37883.0,0.43,33.5,96.3,708.8
moong(green_gram),anantapur,2020,rabi,1060,257.0,0.24,33.5,96.3,708.8
safflower,anantapur,2020,rabi,691,355.0,0.51,33.5,96.3,708.8
sunflower,anantapur,2020,rabi,2879,1273.0,0.44,33.5,96.3,708.8
bajra,chittoor,2020,kharif,3269,9029.0,2.76,27.65,188.55,1418.9
cotton,chittoor,2020,kharif,28,78.0,2.79,27.65,188.55,1418.9
groundnut,chittoor,2020,kharif,122977,127404.0,1.04,27.65,188.55,1418.9
maize,chittoor,2020,kharif,1493,3931.0,2.63,27.65,188.55,1418.9
ragi,chittoor,2020,kharif,5503,6400.0,1.16,27.65,188.55,1418.9
rice,chittoor,2020,kharif,29724,108006.0,3.63,27.65,188.55,1418.9
moong(green_gram),chittoor,2020,rabi,167,139.0,0.83,27.65,188.55,1418.9
sunflower,chittoor,2020,rabi,363,661.0,1.82,27.65,188.55,1418.9
bajra,east_godavari,2020,kharif,6,5.0,0.83,30.59,335.86,1099.1
cotton,east_godavari,2020,kharif,6962,15995.0,2.3,30.59,335.86,1099.1
groundnut,east_godavari,2020,kharif,12,41.0,3.42,30.59,335.86,1099.1
maize,east_godavari,2020,kharif,681,1812.0,2.66,30.59,335.86,1099.1
ragi,east_godavari,2020,kharif,326,379.0,1.16,30.59,335.86,1099.1
rice,east_godavari,2020,kharif,220431,498020.0,2.26,30.59,335.86,1099.1
gram,east_godavari,2020,rabi,1675,3224.0,1.92,30.59,335.86,1099.1
moong(green_gram),east_godavari,2020,rabi,6145,4517.0,0.74,30.59,335.86,1099.1
sunflower,east_godavari,2020,rabi,139,316.0,2.27,30.59,335.86,1099.1
bajra,guntur,2020,kharif,870,995.0,1.14,30.61,341.54,713.5
cotton,guntur,2020,kharif,162789,458324.0,2.82,30.61,341.54,713.5
groundnut,guntur,2020,kharif,434,1568.0,3.61,30.61,341.54,713.5
maize,guntur,2020,kharif,1119,7455.0,6.66,30.61,341.54,713.5
rice,guntur,2020,kharif,213628,668086.0,3.13,30.61,341.54,713.5
castor_seed,guntur,2020,rabi,18,15.0,0.83,30.61,341.54,713.5
gram,guntur,2020,rabi,17458,33240.0,1.9,30.61,341.54,713.5
moong(green_gram),guntur,2020,rabi,29899,35819.0,1.2,30.61,341.54,713.5
sunflower,guntur,2020,rabi,17,20.0,1.18,30.61,341.54,713.5
bajra,kadapa,2020,kharif,2841,7117.0,2.51,34.21,250.34,1012.5
cotton,kadapa,2020,kharif,15227,15625.0,1.03,34.21,250.34,1012.5
groundnut,kadapa,2020,kharif,29827,28932.0,0.97,34.21,250.34,1012.5
maize,kadapa,2020,kharif,699,1439.0,2.06,34.21,250.34,1012.5
ragi,kadapa,2020,kharif,24,32.0,1.33,34.21,250.34,1012.5
rice,kadapa,2020,kharif,36780,70201.0,1.91,34.21,250.34,1012.5
castor_seed,kadapa,2020,rabi,21,9.0,0.43,34.21,250.34,1012.5
gram,kadapa,2020,rabi,106078,121778.0,1.15,34.21,250.34,1012.5
moong(green_gram),kadapa,2020,rabi,7157,3550.0,0.5,34.21,250.34,1012.5
safflower,kadapa,2020,rabi,212,111.0,0.52,34.21,250.34,1012.5
sunflower,kadapa,2020,rabi,5174,3084.0,0.6,34.21,250.34,1012.5
cotton,krishna,2020,kharif,47851,111337.0,2.33,31.65,303.08,944.8
groundnut,krishna,2020,kharif,1079,2487.0,2.3,31.65,303.08,944.8
maize,krishna,2020,kharif,4322,21182.0,4.9,31.65,303.08,944.8
rice,krishna,2020,kharif,250926,812833.0,3.24,31.65,303.08,944.8
gram,krishna,2020,rabi,4194,6916.0,1.65,31.65,303.08,944.8
moong(green_gram),krishna,2020,rabi,5068,5484.0,1.08,31.65,303.08,944.8
sunflower,krishna,2020,rabi,9,11.0,1.22,31.65,303.08,944.8
bajra,kurnool,2020,kharif,4278,5878.0,1.37,29.5,262.13,470.3
cotton,kurnool,2020,kharif,275798,862950.0,3.13,29.5,262.13,470.3
groundnut,kurnool,2020,kharif,93972,95288.0,1.01,29.5,262.13,470.3
maize,kurnool,2020,kharif,46849,181680.0,3.88,29.5,262.13,470.3
ragi,kurnool,2020,kharif,1,1.0,1.0,29.5,262.13,470.3
rice,kurnool,2020,kharif,83979,247240.0,2.94,29.5,262.13,470.3
castor_seed,kurnool,2020,rabi,78,40.0,0.51,29.5,262.13,470.3
gram,kurnool,2020,rabi,148711,176371.0,1.19,29.5,262.13,470.3
moong(green_gram),kurnool,2020,rabi,1610,1742.0,1.08,29.5,262.13,470.3
safflower,kurnool,2020,rabi,47,31.0,0.66,29.5,262.13,470.3
sunflower,kurnool,2020,rabi,826,988.0,1.2,29.5,262.13,470.3
bajra,prakasam,2020,kharif,9810,28557.0,2.91,28.61,266.6866133333333,929.8805333333333
cotton,prakasam,2020,kharif,32175,44541.0,1.38,28.61,266.6866133333333,929.8805333333333
groundnut,prakasam,2020,kharif,2421,7483.0,3.09,28.61,266.6866133333333,929.8805333333333
maize,prakasam,2020,kharif,1799,7608.0,4.23,28.61,266.6866133333333,929.8805333333333
ragi,prakasam,2020,kharif,19,20.0,1.05,28.61,266.6866133333333,929.8805333333333
rice,prakasam,2020,kharif,26622,90446.0,3.4,28.61,266.6866133333333,929.8805333333333
castor_seed,prakasam,2020,rabi,235,51.0,0.22,28.61,266.6866133333333,929.8805333333333
gram,prakasam,2020,rabi,92410,138061.0,1.49,28.61,266.6866133333333,929.8805333333333
moong(green_gram),prakasam,2020,rabi,1077,1092.0,1.01,28.61,266.6866133333333,929.8805333333333
safflower,prakasam,2020,rabi,3,2.0,0.67,28.61,266.6866133333333,929.8805333333333
sunflower,prakasam,2020,rabi,544,487.0,0.9,28.61,266.6866133333333,929.8805333333333
bajra,spsr_nellore,2020,kharif,1273,3717.0,2.92,32.55,284.19,1385.3
cotton,spsr_nellore,2020,kharif,2748,7539.0,2.74,32.55,284.19,1385.3
groundnut,spsr_nellore,2020,kharif,10636,42916.0,4.03,32.55,284.19,1385.3
maize,spsr_nellore,2020,kharif,128,456.0,3.56,32.55,284.19,1385.3
ragi,spsr_nellore,2020,kharif,68,81.0,1.19,32.55,284.19,1385.3
rice,spsr_nellore,2020,kharif,88911,320079.0,3.6,32.55,284.19,1385.3
gram,spsr_nellore,2020,rabi,10588,14749.0,1.39,32.55,284.19,1385.3
moong(green_gram),spsr_nellore,2020,rabi,1596,488.0,0.31,32.55,284.19,1385.3
sunflower,spsr_nellore,2020,rabi,84,71.0,0.85,32.55,284.19,1385.3
bajra,srikakulam,2020,kharif,40,90.0,2.25,30.5,197.76,952.4
cotton,srikakulam,2020,kharif,3723,13491.0,3.62,30.5,197.76,952.4
groundnut,srikakulam,2020,kharif,341,444.0,1.3,30.5,197.76,952.4
maize,srikakulam,2020,kharif,14955,47377.0,3.17,30.5,197.76,952.4
ragi,srikakulam,2020,kharif,138,157.0,1.14,30.5,197.76,952.4
rice,srikakulam,2020,kharif,195124,504643.0,2.59,30.5,197.76,952.4
moong(green_gram),srikakulam,2020,rabi,19969,9465.0,0.47,30.5,197.76,952.4
sunflower,srikakulam,2020,rabi,303,382.0,1.26,30.5,197.76,952.4
bajra,visakhapatanam,2020,kharif,1214,1162.0,0.96,29.57,156.85,1210.4
cotton,visakhapatanam,2020,kharif,810,660.0,0.81,29.57,156.85,1210.4
groundnut,visakhapatanam,2020,kharif,1385,2925.0,2.11,29.57,156.85,1210.4
maize,visakhapatanam,2020,kharif,4690,14980.0,3.19,29.57,156.85,1210.4
ragi,visakhapatanam,2020,kharif,16528,17189.0,1.04,29.57,156.85,1210.4
rice,visakhapatanam,2020,kharif,102722,249848.0,2.43,29.57,156.85,1210.4
moong(green_gram),visakhapatanam,2020,rabi,2961,1125.0,0.38,29.57,156.85,1210.4
sunflower,visakhapatanam,2020,rabi,108,130.0,1.2,29.57,156.85,1210.4
bajra,vizianagaram,2020,kharif,31,30.0,0.97,30.41,266.6866133333333,929.8805333333333
cotton,vizianagaram,2020,kharif,10070,21451.0,2.13,30.41,266.6866133333333,929.8805333333333
groundnut,vizianagaram,2020,kharif,470,569.0,1.21,30.41,266.6866133333333,929.8805333333333
maize,vizianagaram,2020,kharif,18386,73673.0,4.01,30.41,266.6866133333333,929.8805333333333
ragi,vizianagaram,2020,kharif,908,1299.0,1.43,30.41,266.6866133333333,929.8805333333333
rice,vizianagaram,2020,kharif,108497,310379.0,2.86,30.41,266.6866133333333,929.8805333333333
gram,vizianagaram,2020,rabi,84,130.0,1.55,30.41,266.6866133333333,929.8805333333333
moong(green_gram),vizianagaram,2020,rabi,12127,6015.0,0.5,30.41,266.6866133333333,929.8805333333333
safflower,vizianagaram,2020,rabi,2,1.0,0.5,30.41,266.6866133333333,929.8805333333333
sunflower,vizianagaram,2020,rabi,15,18.0,1.2,30.41,266.6866133333333,929.8805333333333
cotton,west_godavari,2020,kharif,4770,7792.0,1.63,30.39,444.72,1053.9
groundnut,west_godavari,2020,kharif,816,2254.0,2.76,30.39,444.72,1053.9
maize,west_godavari,2020,kharif,1361,5109.0,3.75,30.39,444.72,1053.9
rice,west_godavari,2020,kharif,223249,572064.0,2.56,30.39,444.72,1053.9
gram,west_godavari,2020,rabi,2,3.0,1.5,30.39,444.72,1053.9
moong(green_gram),west_godavari,2020,rabi,5247,6853.0,1.31,30.39,444.72,1053.9
sunflower,west_godavari,2020,rabi,31,66.0,2.13,30.39,444.72,1053.9
